region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,,,,,,,,,,,,,,,,,,,,,0.4631313131313131,,,,,,,,,,0.4631313131313131,
AT2,,,,,,,,,,,,,,,,,,,,,0.4994949494949495,,,,,,,,,,0.4994949494949495,
AT3,,,,,,,,,,,,,,,,,,,,,0.03737373737373737,,,,,,,,,,0.03737373737373737,
BE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BE3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DE1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
EE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
EL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ES11,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
ES12,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
ES13,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
